k, accuracy
0,0.9710178571428572
1,0.9649464285714284
2,0.9706964285714286
3,0.9683035714285715
4,0.9669464285714285
5,0.967
6,0.9663035714285714
7,0.9660714285714285
8,0.9650357142857142
9,0.9643571428571427
10,0.964017857142857
11,0.9637678571428572
12,0.9629642857142857
13,0.9623214285714287
14,0.9620535714285714
15,0.9614464285714284
16,0.9609107142857143
17,0.9601428571428571
18,0.9599285714285714
19,0.9594285714285714
20,0.9586964285714286
21,0.9583928571428573
22,0.9578214285714285
23,0.9573214285714287
24,0.9568035714285715
25,0.9562321428571428
26,0.9559642857142858
27,0.9553392857142857
28,0.9551964285714286
29,0.9549821428571427
30,0.9546964285714286
31,0.9543928571428572
32,0.9539107142857143
33,0.9533571428571429
34,0.9528749999999999
35,0.9522857142857143
36,0.9520357142857142
37,0.9516785714285714
38,0.9512499999999999
39,0.950892857142857
40,0.9505357142857143
41,0.9499285714285713
42,0.9494821428571429
43,0.9494464285714287
44,0.9490535714285713
45,0.9488392857142859
46,0.9482857142857142
47,0.9479285714285716
48,0.9476607142857144
49,0.9475178571428572
50,0.9470714285714287
51,0.9467857142857143
52,0.9467142857142858
53,0.9465357142857143
54,0.9462857142857143
55,0.9460178571428572
56,0.9456785714285715
57,0.9454464285714286
58,0.9449642857142859
59,0.9447857142857142
60,0.9445357142857145
61,0.9442857142857145
62,0.944125
63,0.9439107142857143
64,0.9436785714285716
65,0.9432678571428571
66,0.9430357142857144
67,0.9427678571428573
68,0.9424285714285713
69,0.9422142857142857
70,0.9418392857142857
71,0.9415000000000001
72,0.9412678571428572
73,0.9412857142857144
74,0.9409642857142858
75,0.9405892857142858
76,0.9401428571428572
77,0.9401785714285715
78,0.9397142857142857
79,0.9396785714285715
80,0.9393928571428571
81,0.9393749999999998
82,0.9394642857142858
83,0.9391428571428572
84,0.9390000000000001
85,0.9386785714285715
86,0.9384642857142858
87,0.9383035714285715
88,0.9378928571428572
89,0.9376964285714285
90,0.9376071428571429
91,0.9373571428571429
92,0.9373928571428571
93,0.9371607142857143
94,0.9369285714285714
95,0.9369642857142857
